Name,CAS,Clean_Name,Source_File
"N-benzyl-N,N-dimethyldecan-1-aminium chloride",965-32-2,N-BENZYL-N N-DIMETHYLDECAN-1-AMINIUM CHLORIDE,ammonium.csv
"N-benzyl-N,N-dimethyldodecan-1-aminium (1R,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-9-hydroxy-5a,5b,8,8,11a-pentamethyl-1-(prop-1-en-2-yl)icosahydro-3aH-cyclopenta[a]chrysene-3a-carboxylate",1360613-62-2,N-BENZYL-N N-DIMETHYLDODECAN-1-AMINIUM (1R 3AS 5AR 5BR 7AR 9S 11AR 11BR 13AR 13BR)-9-HYDROXY-5A 5B 8 8 11A-PENTAMETHYL-1-(PROP-1-EN-2-YL)ICOSAHYDRO-3AH-CYCLOPENTA A CHRYSENE-3A-CARBOXYLATE,ammonium.csv
"N-benzyl-N,N-dimethyldodecan-1-aminium (1R,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-9-hydroxy-5a,5b,8,8,11a-pentamethyl-1-(prop-1-en-2-yl)icosahydro-3aH-cyclopenta[a]chrysene-3a-carboxylate",1360613-60-0,N-BENZYL-N N-DIMETHYLDODECAN-1-AMINIUM (1R 3AS 5AR 5BR 7AR 9S 11AR 11BR 13AR 13BR)-9-HYDROXY-5A 5B 8 8 11A-PENTAMETHYL-1-(PROP-1-EN-2-YL)ICOSAHYDRO-3AH-CYCLOPENTA A CHRYSENE-3A-CARBOXYLATE,ammonium.csv
"N-benzyl-N,N-dimethyldodecan-1-aminium chloride",139-07-1,N-BENZYL-N N-DIMETHYLDODECAN-1-AMINIUM CHLORIDE,ammonium.csv
"N-benzyl-N,N-dimethylhexadecan-1-aminium bromide",3529-04-2,N-BENZYL-N N-DIMETHYLHEXADECAN-1-AMINIUM BROMIDE,ammonium.csv
"N-benzyl-N,N-dimethyltetradecan-1-aminium 2-(6-methoxynaphthalen-2-yl)propanoate",,N-BENZYL-N N-DIMETHYLTETRADECAN-1-AMINIUM 2-(6-METHOXYNAPHTHALEN-2-YL)PROPANOATE,ammonium.csv
"N-benzyl-N,N-dimethyltetradecan-1-aminium 2-hydroxybenzoate",123891-89-4,N-BENZYL-N N-DIMETHYLTETRADECAN-1-AMINIUM 2-HYDROXYBENZOATE,ammonium.csv
"N-benzyl-N,N-dimethyltetradecan-1-aminium bromide",18773-88-1,N-BENZYL-N N-DIMETHYLTETRADECAN-1-AMINIUM BROMIDE,ammonium.csv
"N-benzyl-N,N-dimethyltetradecan-1-aminium chloride",139-08-2,N-BENZYL-N N-DIMETHYLTETRADECAN-1-AMINIUM CHLORIDE,ammonium.csv
"N-benzyl-N,N-dimethyltetradecan-1-aminium chloride",63449-41-2,N-BENZYL-N N-DIMETHYLTETRADECAN-1-AMINIUM CHLORIDE,ammonium.csv
"N-decyl-N-((7-(decyloxy)-4,5-dimethoxy-9,10-dioxo-9,10-dihydroanthracen-2-yl)methyl)-N-methyldecan-1-aminium bromide",1809097-96-8,N-DECYL-N-((7-(DECYLOXY)-4 5-DIMETHOXY-9 10-DIOXO-9 10-DIHYDROANTHRACEN-2-YL)METHYL)-N-METHYLDECAN-1-AMINIUM BROMIDE,ammonium.csv
"N-decyl-N-((7-ethoxy-4,5-dihydroxy-9,10-dioxo-9,10-dihydroanthracen-2-yl)methyl)-N-methyldecan-1-aminium bromide",1809098-06-3,N-DECYL-N-((7-ETHOXY-4 5-DIHYDROXY-9 10-DIOXO-9 10-DIHYDROANTHRACEN-2-YL)METHYL)-N-METHYLDECAN-1-AMINIUM BROMIDE,ammonium.csv
"N-decyl-N,N-dimethyldecan-1-aminium 2-(4-isobutylphenyl)propanoate",934544-28-2,N-DECYL-N N-DIMETHYLDECAN-1-AMINIUM 2-(4-ISOBUTYLPHENYL)PROPANOATE,ammonium.csv
"N-decyl-N,N-dimethyldecan-1-aminium 3-oxo-3H-benzo[d]isothiazol-2-ide 1,1-dioxide",934544-24-8,N-DECYL-N N-DIMETHYLDECAN-1-AMINIUM 3-OXO-3H-BENZO D ISOTHIAZOL-2-IDE 1 1-DIOXIDE,ammonium.csv
"N-decyl-N,N-dimethyldecan-1-aminium bromide",2390-68-3,N-DECYL-N N-DIMETHYLDECAN-1-AMINIUM BROMIDE,ammonium.csv
"N-dodecyl-N-((7-ethoxy-4,5-dihydroxy-9,10-dioxo-9,10-dihydroanthracen-2-yl)methyl)-N-methyldodecan-1-aminium bromide",1809098-17-6,N-DODECYL-N-((7-ETHOXY-4 5-DIHYDROXY-9 10-DIOXO-9 10-DIHYDROANTHRACEN-2-YL)METHYL)-N-METHYLDODECAN-1-AMINIUM BROMIDE,ammonium.csv
"N-ethyl-2-hydroxy-N,N-dimethylethan-1-aminium bis((trifluoromethyl)sulfonyl)imide",854102-71-9,N-ETHYL-2-HYDROXY-N N-DIMETHYLETHAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,ammonium.csv
"N-ethyl-2-hydroxy-N,N-dimethylethan-1-aminium iodide",1113-04-8,N-ETHYL-2-HYDROXY-N N-DIMETHYLETHAN-1-AMINIUM IODIDE,ammonium.csv
"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium bis((trifluoromethyl)sulfonyl)imide",557788-37-1,N-ETHYL-2-METHOXY-N N-DIMETHYLETHAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,ammonium.csv
"N-ethyl-2-methoxy-N,N-dimethylethan-1-aminium chloride",625835-83-8,N-ETHYL-2-METHOXY-N N-DIMETHYLETHAN-1-AMINIUM CHLORIDE,ammonium.csv
