Clean_Name,corr_score_min,corr_score_mean,corr_score_var,data_points,UNS
ALLCORR,0.42341881428904443,0.8388540015656598,0.03892334500962521,17,N06110
ALLOY 20,0.7686217868402407,0.9345946316223896,0.008866310735875418,5,
ALLOY 200,0.8872289439729029,0.8965935574048005,0.00017539196945775786,2,N02200
ALLOY 400,0.5401731209973589,0.8937491549037937,0.011463781712585205,79,N04400
ALLOY 600,0.33099547926634265,0.8126261583820524,0.04568662576578796,14,N06600
ALLOY 625,0.33285387133565303,0.7563965149899018,0.04030432622571445,116,N06625
ALLOY 690,0.47930370653109755,0.8622930633360734,0.0362709045302535,9,N06690
ALLOY 800,0.3471241605772494,0.3471241605772494,0.0,1,N08800
ALLOY 800H,0.9031710582573919,0.9031710582573919,0.0,1,N08810
ALLOY 825,0.25,0.8774582988518644,0.032532943538796016,95,N08825
ALLOY 825 INCO ALLOYS INTERNATIONAL INC,0.9873254809439799,0.9943342402654677,3.684203041990672e-05,3,N08825
ALLOY 904L,0.38762941252569555,0.7551087114265645,0.036169292152872234,20,N08904
ALLOY 904L MILL-FINISHED,,,0.0,0,N08904
ALLOY B-2,0.5980511219807114,0.9007425932946953,0.008571623942320252,16,N10665
ALLOY C-22,0.48095855130519694,0.8635998609129542,0.025572288429196538,93,N06022
ALLOY C-276,0.43883638827026494,0.8163111918463662,0.032203113682958216,71,N10276
ALLOY C-4,0.3608998227975916,0.7927675887134459,0.03336987652438743,38,N06455
ALLOY C276,,,0.0,0,N10276
ALLOY G,0.3782931349197638,0.7974219693227891,0.04090014671962728,13,N06007
ALLOY G-2,0.9602525677891274,0.9633411973648682,3.815853062456518e-05,4,N06975
ALLOY G-3,0.3991776974050296,0.8159192429562468,0.018865669208645776,24,N06985
ALLOY G-30,0.3991776974050296,0.8173170342536203,0.027754411748278925,29,N06030
ALLOY K-500,0.5695166695789404,0.5695166695789404,0.0,1,N05500
ALLUMINUM (99 0-99 5 ),1.0,1.0,0.0,1,A91199
ALPHA-1,0.551598341054641,0.5581491335467264,8.582576454872488e-05,2,
ALPHA-2,0.3243819727538636,0.4802267466157721,0.01825860803732642,3,
ALTEMP A-286,0.8797236795860713,0.8797236795860713,0.0,1,K66286
ALUMINUM ( 99 5 ),0.5,0.875,0.04838709677419355,32,A91350
ALUMINUM (99 0-99 5 ),0.5,0.8743781177934362,0.036496808066081673,41,A91199
ALUMINUM 99 0-99 5 ),1.0,1.0,0.0,1,A91199
ALUMINUM ALLOY 1100,0.1878908137758174,0.631057323096643,0.05428222972936373,21,A91100
ALUMINUM ALLOYS,0.414083244786221,0.7514598430208274,0.07242786881092018,7,
ALUMINUM BRASS,0.8502741537276025,0.9732474508598359,0.0036309980736870967,6,C68700
ALUMINUM BRONZE,0.25,0.793241621208039,0.05659142002196028,110,C61800
ALUMINUM(99 0-99 5 ),1.0,1.0,0.0,2,A91199
ALUMINUM- MANGANESE ALLOYS,1.0,1.0,0.0,2,
ALUMINUM-MAGNESIUM ALLOYS,1.0,1.0,0.0,4,
ALUMINUM-MANGANESE,1.0,1.0,0.0,1,
ALUMINUM-MANGANESE ALLOYS,0.5,0.9038461538461539,0.04038461538461538,26,
ALUMINUM-SILICON ALLOYS,0.5,0.8333333333333334,0.08333333333333333,3,
ALUMINUM99 0-99 5,1.0,1.0,0.0,1,A91199
ALUMINUMBRONZE,0.7516458563733858,0.7516458563733858,0.0,1,
AM-363,0.25,0.7692307692307693,0.09337044534412957,39,S36300
AM-363 STAINLESS STEEL,1.0,1.0,0.0,1,S36300
AMPCO 8 ALUMINUM BRONZE,0.8502741537276025,0.9095334968097422,0.004187970361756298,74,C61300
AP 65,0.2551280076548626,0.286948839422951,0.0005768117683854253,5,
API N-80 STEEL,0.414083244786221,0.6428186499348169,0.019704581389165702,24,
API N80,0.8545097108149906,0.9411839051114721,0.002214734196031511,18,
ARCHITECTURAL BRONZE,0.25,0.5677083333333334,0.09799890350877191,96,C38500
ARMCO IRON,0.42341881428904443,0.44308315101770446,0.0005224420909887159,4,
ASTM 335 GRADE P11 (1 5CR-0 25MO),0.588591910067779,0.588591910067779,0.0,1,K11597
ASTM 335 GRADE P22 (2CR-1MO),0.48986165536421117,0.48986165536421117,0.0,1,K21590
ASTM 335 GRADE P5 (5CR-0 5MO),0.6241963505817848,0.6241963505817848,0.0,1,K51545
ASTM 335 GRADE P9 (10CR-1MO),0.5419766203817945,0.5419766203817945,0.0,1,S50400
ASTM A106 CARBON STEEL,0.4112918086306602,0.423166922790141,8.713644671200773e-05,4,G10100
ASTM A242 TYPE 1,0.9566421290774022,0.9602985215698275,2.6963853362304868e-05,4,K11510
ASTM A335 GRADE P11 (1 5 CR-0 25 MO),0.28869252115457555,0.28869252115457555,0.0,1,K11597
ASTM A335 GRADE P11 (1 5CR-0 25MO),0.3812066217497452,0.3812066217497452,0.0,1,K11597
